бац межд.; предик.
лимо́жец мо 5*a
таганро́жец мо 5*a
криворо́жец мо 5*a
запоро́жец мо 5*a (_запорожский казак; житель Запорожья_); м 5*a (_автомобиль_)
вюртембе́ржец мо 5*a
нюрнбе́ржец мо 5*a
кенигсбе́ржец мо 5*a
гейдельбе́ржец мо 5*a
стрелове́ржец мо 5*a
громове́ржец мо 5*a
самоде́ржец мо 5*a
вы́боржец мо 5*a
новото́ржец мо 5*a
га́мбуржец мо 5*a
люксембу́ржец мо 5*a
бранденбу́ржец мо 5*a
мекленбу́ржец мо 5*a
оренбу́ржец мо 5*a
эдинбу́ржец мо 5*a
екатеринбу́ржец мо 5*a
петербу́ржец мо 5*a
стра́сбуржец мо 5*a
за́льцбуржец мо 5*a
шлиссельбу́ржец мо 5*a
зака́зец м 5*a
кавка́зец мо 5*a
расска́зец м 5*a
образе́ц м 5*b
изразе́ц м 5*b
абха́зец мо 5*a
силе́зец мо 5*a
конголе́зец мо 5*a
тоголе́зец мо 5*a
резе́ц м 5*b
чернори́зец мо 5*a
сюрпри́зец м 5*a
моро́зец м 5*a
андалу́зец мо 5*a
тулу́зец мо 5*a
генуэ́зец мо 5*a
намиби́ец мо 5*a
гамби́ец мо 5*a
замби́ец мо 5*a
колумби́ец мо 5*a
лесби́ец мо 5*a
нуби́ец мо 5*a
ливи́ец мо 5*a
боливи́ец мо 5*a
латви́ец мо 5*a
фриги́ец мо 5*a
бельги́ец мо 5*a
согди́ец мо 5*a
лиди́ец мо 5*a
миди́ец мо 5*a
анди́ец мо 5*a
уганди́ец мо 5*a
инди́ец мо 5*a
самоди́ец мо 5*a
пикарди́ец мо 5*a
студи́ец мо 5*a
гарибальди́ец мо 5*a
камбоджи́ец мо 5*a
еврази́ец мо 5*a
меланези́ец мо 5*a
полинези́ец мо 5*a
индонези́ец мо 5*a
микронези́ец мо 5*a
малайзи́ец мо 5*a
фраки́ец мо 5*a
финики́ец мо 5*a
маврики́ец мо 5*a
токи́ец мо 5*a
мали́ец мо 5*a
сомали́ец мо 5*a
австрали́ец мо 5*a
фессали́ец мо 5*a
итали́ец мо 5*a
дели́ец мо 5*a
сицили́ец мо 5*a
чили́ец мо 5*a
валли́ец мо 5*a
анатоли́ец мо 5*a
эоли́ец мо 5*a
хорезми́ец мо 5*a
танзани́ец мо 5*a
тасмани́ец мо 5*a
кени́ец мо 5*a
иони́ец мо 5*a
калифорни́ец мо 5*a
